,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
1261,Jack Eskridge,1949,1949,C-F,6-5,200,"January 21, 1924",Kansas
1262,Vincenzo Esposito,1996,1996,G,6-3,198,"March 1, 1969",
1263,Drew Eubanks,2019,2021,F,6-9,245,"February 1, 1997",Oregon State
1264,Billy Evans,1970,1970,G,6-0,170,"March 3, 1947",Boston College
1265,Bob Evans,1950,1950,G,6-2,175,"May 31, 1925",Butler
1266,Brian Evans,1997,1999,F,6-8,220,"September 13, 1973",Indiana
1267,Earl Evans,1980,1980,F,6-8,202,"November 11, 1955","USC, UNLV"
1268,Jacob Evans,2019,2020,G-F,6-4,210,"June 18, 1997",Cincinnati
1269,Jawun Evans,2018,2019,G,6-0,185,"July 26, 1996",Oklahoma State
1270,Jeremy Evans,2011,2018,F,6-9,200,"October 24, 1987",Western Kentucky
1271,Maurice Evans,2002,2012,G,6-5,220,"November 8, 1978","Wichita State, Texas"
1272,Mike Evans,1980,1988,G,6-1,170,"April 19, 1955",Kansas State
1273,Reggie Evans,2003,2015,F,6-8,245,"May 18, 1980",Iowa
1274,Tyreke Evans,2010,2019,G-F,6-6,220,"September 19, 1989",Memphis
1275,Daniel Ewing,2006,2007,G,6-3,185,"March 26, 1983",Duke
1276,Patrick Ewing*,1986,2002,C-F,7-0,240,"August 5, 1962",Georgetown
1277,Patrick Ewing,2011,2011,F,6-8,235,"May 20, 1984","Indiana, Georgetown"
1278,Dante Exum,2015,2021,G,6-5,214,"July 13, 1995",
1279,Christian Eyenga,2011,2012,F,6-5,210,"June 22, 1989",
1280,Festus Ezeli,2013,2016,C,6-11,255,"October 21, 1989",Vanderbilt
1281,Johnny Ezersky,1948,1950,F-G,6-3,175,"March 21, 1922",Rhode Island
1282,Joe Fabel,1947,1947,F-G,6-1,190,"May 15, 1917",Pitt
1283,John Fairchild,1966,1970,F,6-8,205,"April 28, 1943",BYU
1284,Tacko Fall,2020,2021,C,7-5,311,"December 10, 1995",Central Florida
1285,Phil Farbman,1949,1949,F,6-1,185,"April 3, 1924",City College of New York
1286,Kenneth Faried,2012,2019,F-C,6-8,220,"November 19, 1989",Morehead State University
1287,Dick Farley,1955,1959,G-F,6-4,190,"April 13, 1932",Indiana
1288,Jordan Farmar,2007,2017,G,6-2,180,"November 30, 1986",UCLA
1289,Desmon Farmer,2007,2009,G,6-5,220,"October 7, 1981",USC
1290,Jim Farmer,1988,1994,G,6-4,190,"September 23, 1964",Alabama
1291,Mike Farmer,1959,1966,F,6-7,210,"September 26, 1936",San Francisco
1292,Tony Farmer,1998,2000,F,6-9,244,"January 3, 1970","San Jose State, Nebraska"
1293,Bob Faught,1947,1947,F,6-5,185,"September 2, 1921",Notre Dame
1294,Vítor Faverani,2014,2014,C,6-11,260,"May 5, 1988",
1295,Derrick Favors,2011,2021,F-C,6-8,265,"July 15, 1991",Georgia Tech
1296,Nick Fazekas,2008,2008,F,6-11,235,"June 17, 1985",Nevada
1297,Dave Fedor,1963,1963,F,6-6,190,"December 10, 1940",Florida State
1298,Bob Feerick,1947,1950,F-G,6-3,190,"January 2, 1920",Santa Clara
1299,Butch Feher,1977,1977,G,6-4,185,"May 19, 1954",Vanderbilt
1300,Jamie Feick,1997,2001,C,6-9,255,"July 3, 1974",Michigan State
1301,Ron Feiereisel,1956,1956,G,6-3,185,"August 6, 1931",DePaul
1302,George Feigenbaum,1950,1953,G,6-1,185,"July 2, 1928",Kentucky
1303,Dave Feitl,1987,1992,C,6-11,235,"June 8, 1962",Texas-El Paso
1304,Kay Felder,2017,2018,G,5-9,176,"March 29, 1995",Oakland
1305,Cristiano Felício,2016,2021,F-C,6-11,270,"July 7, 1992",
1306,Carrick Felix,2014,2014,G,6-6,201,"August 17, 1990",Arizona State
1307,Noel Felix,2006,2006,F,6-9,225,"October 4, 1981",Fresno State
1308,Ray Felix,1954,1962,C,6-11,220,"December 10, 1930",Long Island University
1309,Raymond Felton,2006,2019,G,6-1,205,"June 26, 1984",UNC
1310,Jake Fendley,1952,1953,G,6-0,180,"June 12, 1929",Northwestern
1311,Warren Fenley,1947,1947,F,6-3,190,"February 8, 1922",Manhattan College
1312,Desmond Ferguson,2004,2004,G-F,6-7,203,"July 22, 1977","Missouri, Detroit Mercy"
1313,Terrance Ferguson,2018,2021,G-F,6-6,190,"May 17, 1998",
1314,Rudy Fernández,2009,2012,G,6-6,185,"April 4, 1985",
1315,Bruno Fernando,2020,2021,F,6-9,240,"August 15, 1998",Maryland
1316,Eric Fernsten,1976,1984,C-F,6-10,205,"November 1, 1953",San Francisco
1317,Al Ferrari,1956,1963,G-F,6-4,190,"July 6, 1933",Michigan State
1318,Rolando Ferreira,1989,1989,C,7-1,240,"May 24, 1964",Houston
1319,Duane Ferrell,1989,1999,F-G,6-7,209,"February 28, 1965",Georgia Tech
1320,Yogi Ferrell,2017,2021,G,6-0,178,"May 9, 1993",Indiana
1321,Arnie Ferrin,1949,1951,F-G,6-2,180,"July 29, 1925",Utah
1322,Bob Ferry,1960,1969,C-F,6-8,230,"May 31, 1937",Saint Louis
1323,Danny Ferry,1991,2003,F,6-10,230,"October 17, 1966",Duke
1324,Kyrylo Fesenko,2008,2012,C,7-1,288,"December 24, 1986",
1325,Bobby Fields,1972,1972,G,6-3,175,"October 20, 1949",La Salle
1326,Kenny Fields,1985,1988,F-G,6-5,220,"February 9, 1962",UCLA
1327,Landry Fields,2011,2015,F,6-7,210,"June 27, 1988",Stanford
1328,Ron Filipek,1968,1968,F,6-5,205,"February 5, 1944",Tennessee Technological University
1329,Greg Fillmore,1971,1972,C,7-1,240,"March 7, 1947",Cheyney (PA)
1330,Larry Finch,1974,1975,G,6-2,185,"February 16, 1951",Memphis
1331,Hank Finkel,1967,1975,C,7-0,240,"April 20, 1942",Dayton
1332,Michael Finley,1996,2010,G-F,6-7,215,"March 6, 1973",Wisconsin
1333,Danny Finn,1953,1955,G,6-1,185,"May 29, 1928",St. John's
1334,Dorian Finney-Smith,2017,2021,F,6-7,220,"May 4, 1993",Florida
1335,Matt Fish,1995,1997,C,6-11,235,"November 18, 1969",UNC Wilmington
1336,Derek Fisher,1997,2014,G,6-1,200,"August 9, 1974",Little Rock
1337,Richard Fisher,1972,1972,F,6-5,215,"October 27, 1948",Colorado State
1338,Gerald Fitch,2006,2006,G,6-3,188,"August 12, 1982",Kentucky
1339,Bob Fitzgerald,1947,1949,F-C,6-5,190,"March 14, 1923",Seton Hall
1340,Dick Fitzgerald,1947,1948,F,6-2,175,"November 18, 1920",Fordham
1341,Marcus Fizer,2001,2006,F,6-9,262,"August 10, 1978",Iowa State
1342,Jerry Fleishman,1947,1953,G-F,6-2,190,"February 14, 1922",NYU
1343,Al Fleming,1978,1978,F,6-7,215,"April 5, 1954",Arizona
1344,Ed Fleming,1956,1960,G-F,6-3,189,"July 25, 1933",Niagara University
1345,Vern Fleming,1985,1996,G,6-5,185,"February 4, 1962",Georgia
1346,Luis Flores,2005,2005,G,6-2,200,"April 11, 1981","Rutgers University, Manhattan College"
1347,Bruce Flowers,1983,1983,F,6-8,225,"June 13, 1957",Notre Dame
1348,Sleepy Floyd,1983,1995,G,6-3,170,"March 6, 1960",Georgetown
1349,Jonny Flynn,2010,2012,G,6-0,185,"February 6, 1989",Syracuse
1350,Malachi Flynn,2021,2021,G,6-1,175,"May 10, 1998","Washington State, San Diego State"
1351,Mike Flynn,1976,1978,G,6-2,180,"July 31, 1953",Kentucky
1352,Larry Fogle,1976,1976,G,6-5,205,"March 19, 1953",Canisius
1353,Jack Foley,1963,1963,F,6-3,170,"April 19, 1939",Holy Cross
1354,Isaac Fontaine,2002,2002,G,6-4,210,"April 16, 1975",Washington State
1355,Levi Fontaine,1971,1971,G,6-4,190,"November 1, 1948",University of Maryland Eastern Shore
1356,Jeff Foote,2012,2012,C,7-0,265,"July 14, 1987",Cornell
1357,Bryn Forbes,2017,2021,G,6-2,205,"July 23, 1993",Michigan State
1358,Gary Forbes,2011,2012,F,6-7,220,"February 25, 1985","Virginia, UMass"
1359,Alphonso Ford,1994,1995,G,6-1,190,"October 31, 1971",Mississippi Valley State University
1360,Alton Ford,2002,2004,F,6-9,275,"May 29, 1981",Houston
1361,Bob Ford,1973,1973,F,6-7,228,"January 26, 1950",Purdue
1362,Chris Ford,1973,1982,G-F,6-5,190,"January 11, 1949",Villanova
1363,Don Ford,1976,1982,F,6-9,215,"December 31, 1952","New Mexico, UC Santa Barbara"
1364,Jake Ford,1971,1972,G,6-3,180,"April 29, 1945",University of Maryland Eastern Shore
1365,Phil Ford,1979,1985,G,6-2,175,"February 9, 1956",UNC
1366,Sharrod Ford,2006,2006,F,6-9,225,"January 9, 1982",Clemson
1367,Sherell Ford,1996,1996,F,6-7,210,"August 26, 1972",University of Illinois at Chicago
1368,T.J. Ford,2004,2012,G,6-0,165,"March 24, 1983",Texas
1369,Donnie Forman,1949,1949,G,5-10,175,"January 17, 1926",NYU
1370,Bayard Forrest,1978,1979,C,6-10,235,"July 8, 1954",Grand Canyon University
1371,Trent Forrest,2021,2021,G,6-4,210,"June 12, 1998",Florida State
1372,Joseph Forte,2002,2003,G,6-4,194,"March 23, 1981",UNC
1373,Courtney Fortson,2012,2012,G,5-11,185,"May 23, 1988",Arkansas
1374,Danny Fortson,1998,2007,F,6-7,260,"March 27, 1976",Cincinnati
1375,Fred Foster,1969,1977,F,6-5,210,"March 18, 1946",Miami University
1376,Greg Foster,1991,2003,F-C,6-11,240,"October 3, 1968","UCLA, Texas-El Paso"
1377,Jeff Foster,2000,2012,F-C,6-11,236,"January 16, 1977",Texas State University
1378,Jimmy Foster,1975,1976,G,6-1,175,"December 16, 1951",UConn
1379,Rod Foster,1984,1986,G,6-1,160,"October 10, 1960",UCLA
1380,Antonis Fotsis,2002,2002,F,6-10,219,"April 1, 1981",
1381,Evan Fournier,2013,2021,G-F,6-7,205,"October 29, 1992",
1382,Larry Foust,1951,1962,C-F,6-9,215,"June 24, 1928",La Salle
1383,Calvin Fowler,1970,1970,G,6-0,175,"February 11, 1940",Saint Francis University
1384,Jerry Fowler,1952,1952,C,6-8,230,"June 20, 1927",Missouri
1385,Tremaine Fowlkes,2002,2005,F,6-8,220,"April 11, 1976","California, Fresno State"
1386,De'Aaron Fox,2018,2021,G,6-3,185,"December 20, 1997",Kentucky
1387,Harold Fox,1973,1973,G,6-2,175,"August 29, 1949",Jacksonville University
1388,Jim Fox,1968,1977,C-F,6-10,230,"April 7, 1943",South Carolina
1389,Rick Fox,1992,2004,F-G,6-7,230,"July 24, 1969",UNC
1390,Randy Foye,2007,2017,G,6-4,213,"September 24, 1983",Villanova
1391,Adonal Foyle,1998,2009,C,6-10,250,"March 9, 1975",Colgate
1392,Richie Frahm,2004,2008,G,6-5,210,"August 14, 1977",Gonzaga
1393,Steve Francis,2000,2008,G,6-3,195,"February 21, 1977",Maryland
1394,Tellis Frank,1988,1994,F-C,6-10,225,"April 26, 1965",Western Kentucky
1395,Nat Frankel,1947,1947,F-G,6-0,195,"November 3, 1913",Brooklyn College
1396,Jamaal Franklin,2014,2015,G,6-5,191,"July 21, 1991",San Diego State
1397,William Franklin,1973,1976,F,6-7,220,"October 19, 1949",Purdue
1398,Ronald Franz,1968,1973,F,6-7,205,"October 20, 1945",Kansas
1399,Melvin Frazier,2019,2020,G,6-5,215,"August 30, 1996",Tulane
1400,Michael Frazier,2020,2020,G,6-3,200,"March 8, 1994",Florida
1401,Tim Frazier,2015,2021,G,6-0,170,"November 1, 1990",Penn State
1402,Walt Frazier*,1968,1980,G,6-4,200,"March 29, 1945",Southern Illinois
1403,Will Frazier,1966,1969,C-F,6-7,210,"August 24, 1942",Grambling State University
1404,Anthony Frederick,1989,1992,F,6-7,205,"December 7, 1964",Pepperdine
1405,Jimmer Fredette,2012,2019,G,6-2,195,"February 25, 1989",BYU
1406,World B. Free,1976,1988,G,6-2,185,"December 9, 1953",Guilford College
1407,Joel Freeland,2013,2015,F-C,6-10,250,"February 7, 1987",
1408,Donnie Freeman,1968,1976,G,6-3,185,"July 18, 1944",Illinois
1409,Gary Freeman,1971,1971,F,6-9,210,"July 25, 1948",Oregon State
1410,Rod Freeman,1974,1974,F,6-7,225,"November 5, 1950",Vanderbilt
1411,Matt Freije,2005,2007,F,6-10,240,"October 2, 1981",Vanderbilt
1412,Frido Frey,1947,1947,F,6-2,195,"October 26, 1921",Long Island University
1413,Larry Friend,1958,1958,G-F,6-4,185,"April 14, 1935",California
1414,Pat Frink,1969,1969,G,6-4,195,"February 18, 1945",Colorado
1415,Jim Fritsche,1954,1955,F-C,6-8,210,"December 10, 1931",Hamline University
1416,Channing Frye,2006,2019,C-F,7-0,255,"May 17, 1983",Arizona
1417,Bernie Fryer,1974,1975,G,6-3,185,"December 25, 1949",BYU
1418,Frank Fucarino,1947,1947,F,6-2,175,"July 24, 1920",Long Island University
1419,Herm Fuetsch,1948,1948,G,6-0,170,"July 6, 1918",
1420,Joe Fulks*,1947,1954,F-C,6-5,190,"October 26, 1921",Murray State
1421,Carl Fuller,1971,1972,C,6-9,225,"January 10, 1946",Bethune-Cookman College
1422,Hiram Fuller,2004,2004,F,6-9,240,"May 15, 1981",Fresno State
1423,Todd Fuller,1997,2001,C,6-11,255,"July 25, 1974",NC State
1424,Tony Fuller,1981,1981,G,6-4,180,"September 4, 1958",Pepperdine
1425,Markelle Fultz,2018,2021,G,6-3,209,"May 29, 1998",Washington
1426,Lawrence Funderburke,1998,2005,F,6-9,230,"December 15, 1970","Indiana, Ohio State"
1427,Terry Furlow,1977,1980,G-F,6-4,190,"October 18, 1954",Michigan State
1428,Bill Gabor,1950,1955,G-F,5-11,170,"May 13, 1922",Syracuse
1429,Wenyen Gabriel,2020,2021,F,6-9,205,"March 26, 1997",Kentucky
1430,Dan Gadzuric,2003,2012,C,6-11,240,"February 2, 1978",UCLA
1431,Daniel Gafford,2020,2021,F,6-10,234,"October 1, 1998",Arkansas
1432,Deng Gai,2006,2006,F,6-9,250,"March 22, 1982",Fairfield
1433,Elmer Gainer,1948,1950,F-C,6-6,195,"November 22, 1918",DePaul
1434,Bill Gaines,1969,1969,G,6-4,185,"March 10, 1946",East Texas State University
1435,Corey Gaines,1989,1995,G,6-3,195,"June 1, 1965","UCLA, Loyola Marymount"
1436,Reece Gaines,2004,2006,G,6-6,205,"January 7, 1981",Louisville
1437,Smokey Gaines,1968,1968,G,6-1,170,"February 27, 1940",LeMoyne-Owen College
1438,Sundiata Gaines,2010,2012,G,6-1,185,"April 18, 1986",Georgia
1439,Mike Gale,1972,1982,G,6-4,185,"July 18, 1950",Elizabeth City State University
1440,Chad Gallagher,1994,1994,C,6-10,255,"May 30, 1969",Creighton
1441,Harry Gallatin*,1949,1958,F-C,6-6,210,"April 26, 1927",Truman State University
1442,Gene Gallette,1947,1947,F,6-2,205,"February 22, 1919",
1443,Danilo Gallinari,2009,2021,F,6-10,233,"August 8, 1988",
1444,Langston Galloway,2015,2021,G,6-1,200,"December 9, 1991",Saint Joseph's
1445,Dave Gambee,1959,1970,F,6-6,215,"April 16, 1937",Oregon State
1446,Kevin Gamble,1988,1997,F-G,6-5,210,"November 13, 1965",Iowa
1447,Bob Gantt,1947,1947,F-C,6-4,205,"June 22, 1922",Duke
1448,Jorge Garbajosa,2007,2008,F,6-9,245,"December 19, 1977",
1449,Rubén Garcés,2001,2001,F,6-9,245,"October 17, 1973",Providence
1450,Alex Garcia,2004,2005,G,6-3,220,"March 4, 1980",
1451,Francisco García,2006,2015,F-G,6-7,195,"December 31, 1981",Louisville
1452,Chuck Gardner,1968,1968,F,6-8,205,"September 30, 1944",Colorado
1453,Earl Gardner,1949,1949,F,6-3,195,"September 18, 1923",DePauw University
1454,Kenneth Gardner,1976,1976,F,6-5,205,"September 27, 1949",Utah
1455,Thomas Gardner,2008,2009,G,6-5,225,"February 8, 1985",Missouri
1456,Vern Gardner,1950,1952,F-C,6-5,200,"May 14, 1925",Utah
1457,Jack Garfinkel,1947,1949,G,6-0,190,"June 13, 1918",St. John's
1458,Patricio Garino,2017,2017,G-F,6-6,210,"May 17, 1993",George Washington
1459,Darius Garland,2020,2021,G,6-1,192,"January 26, 2000",Vanderbilt
1460,Gary Garland,1980,1980,G,6-4,180,"October 12, 1957",DePaul
1461,Winston Garland,1988,1995,G,6-2,170,"December 19, 1964",Missouri State University
1462,Dick Garmaker,1956,1961,G-F,6-3,200,"October 29, 1932",Minnesota
1463,Bill Garner,1968,1968,C,6-10,220,"June 17, 1940",University of Portland
1464,Chris Garner,1998,2001,G,5-10,156,"February 2, 1975",Memphis
1465,Bill Garnett,1983,1986,F,6-9,225,"April 22, 1960",Wyoming
1466,Kevin Garnett*,1996,2016,F-C,6-11,240,"May 19, 1976",
1467,Marlon Garnett,1999,1999,G,6-2,186,"July 3, 1975",Santa Clara
1468,Billy Garrett,2019,2019,G,6-6,213,"October 16, 1994",DePaul
1469,Calvin Garrett,1981,1984,F,6-7,190,"July 11, 1956","Austin Peay State University, Oral Roberts"
1470,Dean Garrett,1997,2002,C,6-10,225,"November 27, 1966",Indiana
1471,Diante Garrett,2013,2014,G,6-4,190,"November 3, 1988",Iowa State
1472,Dick Garrett,1970,1974,G,6-3,185,"January 31, 1947",Southern Illinois
1473,Rowland Garrett,1973,1977,F,6-6,210,"July 16, 1950",Florida State
1474,Tom Garrick,1989,1992,G,6-2,185,"July 7, 1966",Rhode Island
1475,John Garris,1984,1984,F,6-8,205,"June 6, 1959","Michigan, Boston College"
1476,Kiwane Garris,1998,2000,G,6-2,183,"September 24, 1974",Illinois
1477,Pat Garrity,1999,2008,F,6-9,238,"August 23, 1976",Notre Dame
1478,Jim Garvin,1974,1974,F,6-7,200,"February 5, 1950",Boston University
1479,Marc Gasol,2009,2021,C,6-11,255,"January 29, 1985",
1480,Pau Gasol,2002,2019,C-F,7-0,250,"July 6, 1980",
1481,Frank Gates,1950,1950,G,6-0,160,"April 12, 1920",Sam Houston State University
1482,Chris Gatling,1992,2002,F-C,6-10,220,"September 3, 1967",Old Dominion
1483,Kenny Gattison,1987,1996,F-C,6-8,225,"May 23, 1964",Old Dominion
1484,Rudy Gay,2007,2021,F,6-8,250,"August 17, 1986",UConn
1485,Ed Gayda,1951,1951,G-F,6-4,210,"May 16, 1927",Washington State
1486,Andrew Gaze,1994,1999,G,6-7,205,"July 24, 1965",Seton Hall
1487,Michael Gbinije,2017,2017,G,6-7,200,"June 5, 1992","Duke, Syracuse"
1488,Reggie Geary,1997,1998,G,6-2,187,"August 31, 1973",Arizona
1489,Alonzo Gee,2010,2017,G,6-6,225,"May 29, 1987",Alabama
1490,Matt Geiger,1993,2002,C,7-0,243,"September 10, 1969","Auburn, Georgia Tech"
1491,Mickaël Gelabale,2007,2013,F,6-7,215,"May 22, 1983",
1492,Devean George,2000,2010,G-F,6-8,220,"August 29, 1977",Augsburg College
1493,Jack George,1954,1961,G,6-2,190,"November 13, 1928",La Salle
1494,Paul George,2011,2021,F,6-8,220,"May 2, 1990",Fresno State
1495,Tate George,1991,1995,G,6-5,190,"May 29, 1968",UConn
1496,Marcus Georges-Hunt,2017,2018,G,6-5,216,"March 28, 1994",Georgia Tech
1497,Gus Gerard,1975,1981,F-G,6-8,200,"July 27, 1953",Virginia
1498,Derrick Gervin,1990,1991,F,6-8,200,"March 28, 1963",Texas-San Antonio
1499,George Gervin*,1973,1986,G-F,6-7,180,"April 27, 1952",Eastern Michigan
1500,Gorham Getchell,1947,1947,C,6-4,205,"August 14, 1920",Temple
1501,John Gianelli,1973,1980,C-F,6-10,220,"June 10, 1950",University of the Pacific
1502,Dick Gibbs,1972,1976,F-G,6-5,210,"December 20, 1948",Texas-El Paso
1503,Daniel Gibson,2007,2013,G,6-2,190,"February 27, 1986",Texas
1504,Dee Gibson,1950,1950,F-G,5-11,175,"August 25, 1923",Western Kentucky
1505,Hoot Gibson,1950,1950,F-C,6-5,198,"December 5, 1921",Creighton
1506,Jonathan Gibson,2017,2018,G,6-2,185,"November 8, 1987",New Mexico State
1507,Mel Gibson,1964,1964,G,6-3,180,"December 30, 1940",Western Carolina University
1508,Mike Gibson,1984,1986,F,6-10,205,"October 27, 1960",USC Upstate
1509,Taj Gibson,2010,2021,F,6-9,232,"June 24, 1985",USC
1510,J.R. Giddens,2009,2010,G,6-5,215,"February 13, 1985","Kansas, New Mexico"
1511,Trey Gilder,2010,2010,F,6-9,185,"January 24, 1985","McNeese State University, Northwestern State University"
1512,Harry Giles,2019,2021,F-C,6-11,240,"April 22, 1998",Duke
1513,Shai Gilgeous-Alexander,2019,2021,G,6-6,180,"July 12, 1998",Kentucky
1514,Anthony Gill,2021,2021,F,6-7,230,"October 17, 1992","South Carolina, Virginia"
1515,Eddie Gill,2001,2009,G,6-0,190,"August 16, 1978",Weber State
1516,Kendall Gill,1991,2005,G,6-5,195,"May 25, 1968",Illinois
1517,Ben Gillery,1989,1989,C,7-0,235,"September 19, 1965",Georgetown
1518,Jack Gillespie,1970,1970,F,6-6,215,"October 1, 1947",Montana State
1519,Armen Gilliam,1988,2000,F-C,6-9,230,"May 28, 1964",UNLV
1520,Herm Gilliam,1970,1977,G-F,6-3,190,"May 5, 1946",Purdue
1521,Artis Gilmore*,1972,1988,C,7-2,240,"September 21, 1949","Gardner-Webb University, Jacksonville University"
1522,Walt Gilmore,1971,1971,F,6-6,225,"February 27, 1947",Fort Valley State University
1523,Chuck Gilmur,1947,1951,F-C,6-4,225,"August 13, 1922",Washington
1524,Manu Ginóbili,2003,2018,G,6-6,205,"July 28, 1977",
1525,Gordan Giriček,2003,2008,G-F,6-6,210,"June 20, 1977",
1526,Jack Givens,1979,1980,F-G,6-5,205,"September 21, 1956",Kentucky
1527,Mickell Gladness,2012,2012,C,6-11,220,"July 26, 1986",Alabama A&M University
1528,George Glamack,1949,1949,C-F,6-6,225,"June 7, 1918",UNC
1529,Gerald Glass,1991,1996,G-F,6-5,221,"November 12, 1967","Delta State University, Ole Miss"
1530,Mike Glenn,1978,1987,G,6-2,175,"September 10, 1955",Southern Illinois
1531,Normie Glick,1950,1950,F,6-7,190,"November 10, 1927",Loyola Marymount
1532,Georgi Glouchkov,1986,1986,F,6-8,235,"January 10, 1960",
1533,Clarence Glover,1972,1972,F,6-8,210,"November 1, 1947",Western Kentucky
1534,Dion Glover,2000,2005,G,6-5,228,"October 22, 1978",Georgia Tech
1535,Andreas Glyniadakis,2007,2007,C,7-1,280,"August 21, 1981",
1536,Mike Gminski,1981,1994,C,6-11,250,"August 3, 1959",Duke
1537,Rudy Gobert,2014,2021,C,7-0,258,"June 26, 1992",
1538,Dan Godfread,1991,1992,C,6-10,250,"June 14, 1967",University of Evansville
1539,Tom Gola*,1956,1966,G-F,6-6,205,"January 13, 1933",La Salle
1540,Ben Goldfaden,1947,1947,F,6-1,185,"September 6, 1913",George Washington
1541,Anthony Goldwire,1996,2006,G,6-1,182,"September 6, 1971",Houston
1542,Ryan Gomes,2006,2014,F,6-7,250,"September 1, 1982",Providence
1543,Glen Gondrezick,1978,1983,F-G,6-6,218,"August 30, 1955",UNLV
1544,Grant Gondrezick,1987,1989,G,6-5,205,"January 19, 1963",Pepperdine
1545,Drew Gooden,2003,2016,F,6-10,250,"September 24, 1981",Kansas
1546,Gail Goodrich*,1966,1979,G,6-1,170,"April 23, 1943",UCLA
1547,Steve Goodrich,2001,2002,F,6-10,220,"March 18, 1976",Princeton
1548,Archie Goodwin,2014,2017,G,6-5,200,"August 17, 1994",Kentucky
1549,Brandon Goodwin,2019,2021,G,6-0,180,"October 2, 1995","Central Florida, Florida Gulf Coast"
1550,Pop Goodwin,1947,1948,F-C,6-2,203,"December 22, 1920",
1551,Aaron Gordon,2015,2021,F,6-8,235,"September 16, 1995",Arizona
1552,Ben Gordon,2005,2015,G,6-3,200,"April 4, 1983",UConn
1553,Drew Gordon,2015,2015,F,6-9,245,"July 12, 1990","UCLA, New Mexico"
1554,Eric Gordon,2009,2021,G-F,6-3,215,"December 25, 1988",Indiana
1555,Lancaster Gordon,1985,1988,G,6-3,185,"June 24, 1962",Louisville
1556,Paul Gordon,1950,1950,F,6-3,185,"April 8, 1927",Notre Dame
1557,Marcin Gortat,2008,2019,C-F,6-11,240,"February 17, 1984",
1558,Leo Gottlieb,1947,1948,G,5-11,180,"November 28, 1920",
1559,Andrew Goudelock,2012,2016,G,6-3,200,"December 7, 1988",College of Charleston
1560,Gerald Govan,1968,1976,F-C,6-10,220,"January 2, 1942",Saint Mary of the Plains College
1561,Bato Govedarica,1954,1954,G,5-11,185,"April 17, 1928",DePaul
1562,Joe Graboski,1949,1962,F-C,6-7,195,"January 15, 1930",
1563,Ricky Grace,1994,1994,G,6-1,180,"August 20, 1967","Midland College, Oklahoma"
1564,Calvin Graham,1968,1968,G,6-2,195,"June 7, 1944",Gannon University
1565,Devonte' Graham,2019,2021,G,6-1,195,"February 22, 1995",Kansas
1566,Greg Graham,1994,1998,G,6-4,174,"November 26, 1970",Indiana
1567,Joey Graham,2006,2011,F,6-7,225,"June 11, 1982","Central Florida, Oklahoma State"
1568,Mal Graham,1968,1969,G,6-1,185,"February 23, 1945",NYU
1569,Orlando Graham,1989,1989,F,6-8,220,"May 5, 1965","West Texas A&M University, Auburn University at Montgomery"
